player,team,position,games,wins,avg_kills,avg_deaths,avg_assists,avg_dpm,avg_cspm,avg_vision,winrate,kda,weighted_winrate,weighted_kda,primary_league,region
Pinki,Mental Over Tempo,bot,10,5,4.9,2.2,7.0,689.1801,9.0207,24.7,50.0,5.41,50.0,5.41,EBL,Europe
Ruep,Beşiktaş Esports,bot,27,16,5.222222222222222,2.185185185185185,6.555555555555555,791.2722925925926,9.409037037037036,36.03703703703704,59.3,5.39,60.5,5.41,TCL,Europe
Sushee,Dorado Gaming,bot,18,7,4.888888888888889,1.8888888888888888,5.333333333333333,705.3194777777777,8.350916666666667,32.833333333333336,38.9,5.41,38.9,5.41,NACL,North America
OddEye,T1 Esports Academy Rookies,bot,122,89,6.991803278688525,2.680327868852459,7.442622950819672,924.9740139344262,9.410173770491802,32.71311475409836,73.0,5.39,73.0,5.39,LAS,Latin America
Crem,GMBLERS Esports,bot,21,11,6.333333333333333,2.0,4.428571428571429,871.7186047619048,9.642900000000001,25.571428571428573,52.4,5.38,52.4,5.38,LIT,Europe
BAO,Papara SuperMassive,bot,54,29,5.62962962962963,2.3518518518518516,7.12962962962963,775.6902240740741,9.073994444444445,37.2962962962963,53.7,5.43,52.9,5.38,TCL,Europe
Sencux,Verdant,mid,49,31,4.26530612244898,2.061224489795918,6.816326530612245,701.2281551020409,8.628973469387756,29.510204081632654,63.3,5.38,63.3,5.38,NLC,Europe
Crem,AVE Axolotl,bot,37,21,4.864864864864865,2.0,5.891891891891892,718.9355216216217,9.605227027027027,22.675675675675677,56.8,5.38,56.8,5.38,LIT,Europe
FoFo,PSG Talon,mid,63,38,3.142857142857143,1.8571428571428572,6.809523809523809,754.8459031746031,8.439695238095238,37.17460317460318,60.3,5.36,60.3,5.36,LCP,Southeast Asia
Guardian,T1 Esports Academy Rookies,top,47,38,4.617021276595745,2.1702127659574466,7.0212765957446805,816.738344680851,7.537406382978724,26.04255319148936,80.9,5.36,80.9,5.36,LAS,Latin America
Feng,Deep Cross Gaming,bot,122,86,6.647540983606557,2.737704918032787,7.729508196721311,835.6643762295082,8.780618032786885,36.68852459016394,70.5,5.25,71.5,5.36,PCS,Southeast Asia
Booshi,BK ROG Esports,bot,78,44,4.102564102564102,1.8461538461538463,5.756410256410256,658.2037333333333,9.086796153846153,30.333333333333332,56.4,5.34,56.4,5.34,LFL,Europe
Harky,Saigon Dino,bot,18,10,6.333333333333333,2.4444444444444446,6.722222222222222,827.3993222222222,9.5609,41.77777777777778,55.6,5.34,55.6,5.34,VCS,Southeast Asia
ToongE,Misa Esports,bot,36,24,5.25,2.3055555555555554,6.416666666666667,790.3371166666667,9.277019444444443,34.666666666666664,66.7,5.06,67.4,5.34,TCL,Europe
Telas,Corinthians Esports,sup,13,8,1.2307692307692308,3.076923076923077,15.153846153846153,254.30226923076924,1.0045384615384614,112.23076923076923,61.5,5.32,61.5,5.32,CD,Latin America
Tyrion,LNG Academy,jng,10,7,3.8,3.0,12.1,558.0068100000001,6.596549999999999,43.5,70.0,5.3,70.0,5.3,Asia Master,Other
